variable,description,sector,confidence,rationale,industry,subsector,subtype,subsubtype,subsubsubtype
Agricultural Production,"Agricultural Production represents agricultural production within the broader context of agricultural production in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, food production, production",AFOLU,0.95,"Agricultural production is related to the AFOLU sector, with a specific focus on the production of agricultural products.",All Sectors,Agricultural Production,,,
Agricultural Production|Energy,"Agricultural Production|Energy represents energy within the broader context of agricultural production > energy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, energy, energy demand, energy sector, energy use, food production, production",AFOLU,0.9,Agricultural energy is a specific mode of agricultural production that relates to energy usage in agriculture.,All Sectors,Agricultural Production,,,
Agricultural Production|Energy|Crops,"Agricultural Production|Energy|Crops represents crops within the broader context of agricultural production > energy > crops in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, crops, energy, energy demand, energy sector, energy use, food production, production",AFOLU,0.9,Crop production is a specific mode of agricultural production that relates to the cultivation of crops.,Crop Production,Agricultural Production,,,
Agricultural Production|Non-Energy,"Agricultural Production|Non-Energy represents non-energy within the broader context of agricultural production > non-energy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, energy, energy demand, energy sector, energy use, food production, non, non-energy, production",AFOLU,0.95,"Non-energy agricultural production is related to the AFOLU sector, with a specific focus on the production of non-energy agricultural products.",All Sectors,Agricultural Production,,,
Agricultural Production|Non-Energy|Crops,"Agricultural Production|Non-Energy|Crops represents crops within the broader context of agricultural production > non-energy > crops in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, crops, energy, energy demand, energy sector, energy use, food production, non, non-energy, production",AFOLU,0.9,Crop production is a specific mode of agricultural production that relates to the cultivation of crops.,Crop Production,Agricultural Production,,,
Agricultural Production|Non-Energy|Livestock,"Agricultural Production|Non-Energy|Livestock represents livestock within the broader context of agricultural production > non-energy > livestock in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, energy, energy demand, energy sector, energy use, food production, livestock, non, non-energy, production",AFOLU,0.9,Livestock production is a specific mode of agricultural production that relates to the production of livestock.,Livestock Production,Agricultural Production,,,
Capacity Additions|Electricity|Biomass,"Capacity Additions|Electricity|Biomass represents biomass within the broader context of capacity additions > electricity > biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, biomass, capacity, capacity additions, electricity",Electricity,0.9,Biomass power is a specific mode of electricity generation that uses biomass as its main energy source.,Biomass Power,Capacity Additions,,,
Capacity Additions|Electricity|Biomass|w/ CCS,"Capacity Additions|Electricity|Biomass|w/ CCS represents w/ ccs within the broader context of capacity additions > electricity > biomass > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, biomass, capacity, capacity additions, ccs, electricity, w, w/ ccs",Electricity,0.8,Carbon capture and storage is a specific mode of electricity generation that uses carbon capture and storage technology to reduce emissions from biomass power generation.,Biomass Power with CCS,Capacity Additions,,,
Capacity Additions|Electricity|Biomass|w/o CCS,"Capacity Additions|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of capacity additions > electricity > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, biomass, capacity, capacity additions, ccs, electricity, o, w, w/o ccs",Electricity,0.8,Carbon capture and storage is not used in this mode of electricity generation.,Biomass Power without CCS,Capacity Additions,,,
Capacity Additions|Electricity|Coal,"Capacity Additions|Electricity|Coal represents coal within the broader context of capacity additions > electricity > coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, coal, electricity",Electricity,0.9,Coal power is a specific mode of electricity generation that uses coal as its main energy source.,Coal Power,Capacity Additions,,,
Capacity Additions|Electricity|Coal|w/ CCS,"Capacity Additions|Electricity|Coal|w/ CCS represents w/ ccs within the broader context of capacity additions > electricity > coal > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, coal, electricity, w, w/ ccs",Electricity,0.8,Carbon capture and storage is a specific mode of electricity generation that uses carbon capture and storage technology to reduce emissions from coal power generation.,Coal Power with CCS,Capacity Additions,,,
Capacity Additions|Electricity|Coal|w/o CCS,"Capacity Additions|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of capacity additions > electricity > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, coal, electricity, o, w, w/o ccs",Electricity,0.8,Carbon capture and storage is not used in this mode of electricity generation.,Coal Power without CCS,Capacity Additions,,,
Capacity Additions|Electricity|Gas,"Capacity Additions|Electricity|Gas represents gas within the broader context of capacity additions > electricity > gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, gas",Electricity,0.9,Gas power is a specific mode of electricity generation that uses gas as its main energy source.,Gas Power,Capacity Additions,,,
Capacity Additions|Electricity|Gas|w/ CCS,"Capacity Additions|Electricity|Gas|w/ CCS represents w/ ccs within the broader context of capacity additions > electricity > gas > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, electricity, gas, w, w/ ccs",Electricity,0.8,Carbon capture and storage is a specific mode of electricity generation that uses carbon capture and storage technology to reduce emissions from gas power generation.,Gas Power with CCS,Capacity Additions,,,
Capacity Additions|Electricity|Gas|w/o CCS,"Capacity Additions|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of capacity additions > electricity > gas > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, electricity, gas, o, w, w/o ccs",Electricity,0.8,Carbon capture and storage is not used in this mode of electricity generation.,Gas Power without CCS,Capacity Additions,,,
Capacity Additions|Electricity|Hydro,"Capacity Additions|Electricity|Hydro represents hydro within the broader context of capacity additions > electricity > hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, hydro",Electricity,0.9,Hydro power is a specific mode of electricity generation that uses water as its main energy source.,Hydro Power,Capacity Additions,,,
Capacity Additions|Electricity|Nuclear,"Capacity Additions|Electricity|Nuclear represents nuclear within the broader context of capacity additions > electricity > nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, nuclear",Electricity,0.9,Nuclear power is a specific mode of electricity generation that uses nuclear energy as its main source.,Nuclear Power,Capacity Additions,,,
Capacity Additions|Electricity|Oil,"Capacity Additions|Electricity|Oil represents oil within the broader context of capacity additions > electricity > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, oil",Electricity,0.9,Oil power is a specific mode of electricity generation that uses oil as its main energy source.,Oil Power,Capacity Additions,,,
Capacity Additions|Electricity|Oil|w/ CCS,"Capacity Additions|Electricity|Oil|w/ CCS represents w/ ccs within the broader context of capacity additions > electricity > oil > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, electricity, oil, w, w/ ccs",Electricity,0.8,Carbon capture and storage is a specific mode of electricity generation that uses carbon capture and storage technology to reduce emissions from oil power generation.,Oil Power with CCS,Capacity Additions,,,
Capacity Additions|Electricity|Oil|w/o CCS,"Capacity Additions|Electricity|Oil|w/o CCS represents w/o ccs within the broader context of capacity additions > electricity > oil > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, electricity, o, oil, w, w/o ccs",Electricity,0.8,Carbon capture and storage is not used in this mode of electricity generation.,Oil Power without CCS,Capacity Additions,,,
Capacity Additions|Electricity|Solar,"Capacity Additions|Electricity|Solar represents solar within the broader context of capacity additions > electricity > solar in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, solar",Electricity,0.9,Solar power is a specific mode of electricity generation that uses solar energy as its main source.,Solar Power,Capacity Additions,,,
Capacity Additions|Electricity|Solar|PV,"Capacity Additions|Electricity|Solar|PV represents pv within the broader context of capacity additions > electricity > solar > pv in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, pv, solar",Electricity,0.8,Photovoltaic (PV) solar panels are a specific mode of solar power generation.,Solar Power with PV,Capacity Additions,,,
Capacity Additions|Electricity|Wind,"Capacity Additions|Electricity|Wind represents wind within the broader context of capacity additions > electricity > wind in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, wind",Electricity,0.9,Wind power is a specific mode of electricity generation that uses wind as its main energy source.,Wind Power,Capacity Additions,,,
Capacity Additions|Electricity|Wind|Onshore,"Capacity Additions|Electricity|Wind|Onshore represents onshore within the broader context of capacity additions > electricity > wind > onshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, onshore, wind",Electricity,0.8,Onshore wind power is a specific mode of wind power generation that uses wind turbines installed onshore.,Onshore Wind Power,Capacity Additions,,,
Capacity|Electricity,"Capacity|Electricity represents electricity within the broader context of capacity > electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity",Electricity,0.95,The variable represents electricity capacity within the broader context of capacity.,,,,,
Capacity|Electricity|Biomass,"Capacity|Electricity|Biomass represents biomass within the broader context of capacity > electricity > biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, electricity",Electricity,0.95,The variable represents biomass power generation capacity within the broader context of electricity capacity.,Energy Generation - Renewable,Power Generation,,,
Capacity|Electricity|Biomass|w/ CCS,"Capacity|Electricity|Biomass|w/ CCS represents w/ ccs within the broader context of capacity > electricity > biomass > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, electricity, w, w/ ccs",Electricity,0.85,The variable represents biomass power generation capacity with CCS technology within the broader context of electricity capacity.,Energy Generation - Renewable,Power Generation,,,
Capacity|Electricity|Biomass|w/o CCS,"Capacity|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of capacity > electricity > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, electricity, o, w, w/o ccs",Electricity,0.85,The variable represents biomass power generation capacity without CCS technology within the broader context of electricity capacity.,Energy Generation - Renewable,Power Generation,,,
Capacity|Electricity|Coal,"Capacity|Electricity|Coal represents coal within the broader context of capacity > electricity > coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, coal, electricity",Electricity,0.95,The variable represents coal power generation capacity within the broader context of electricity capacity.,Energy Generation - Fossil,Power Generation,,,
Capacity|Electricity|Coal|w/ CCS,"Capacity|Electricity|Coal|w/ CCS represents w/ ccs within the broader context of capacity > electricity > coal > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, coal, electricity, w, w/ ccs",Electricity,0.85,The variable represents coal power generation capacity with CCS technology within the broader context of electricity capacity.,Energy Generation - Fossil,Power Generation,,,
Capacity|Electricity|Coal|w/o CCS,"Capacity|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of capacity > electricity > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, coal, electricity, o, w, w/o ccs",Electricity,0.85,The variable represents coal power generation capacity without CCS technology within the broader context of electricity capacity.,Energy Generation - Fossil,Power Generation,,,
Capacity|Electricity|Gas,"Capacity|Electricity|Gas represents gas within the broader context of capacity > electricity > gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, gas",Electricity,0.95,The variable represents gas power generation capacity within the broader context of electricity capacity.,Energy Generation - Fossil,Power Generation,,,
Capacity|Electricity|Gas|w/ CCS,"Capacity|Electricity|Gas|w/ CCS represents w/ ccs within the broader context of capacity > electricity > gas > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, electricity, gas, w, w/ ccs",Electricity,0.85,The variable represents gas power generation capacity with CCS technology within the broader context of electricity capacity.,Energy Generation - Fossil,Power Generation,,,
Capacity|Electricity|Gas|w/o CCS,"Capacity|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of capacity > electricity > gas > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, electricity, gas, o, w, w/o ccs",Electricity,0.85,The variable represents gas power generation capacity without CCS technology within the broader context of electricity capacity.,Energy Generation - Fossil,Power Generation,,,
Capacity|Electricity|Hydro,"Capacity|Electricity|Hydro represents hydro within the broader context of capacity > electricity > hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, hydro",Electricity,0.95,The variable represents hydro power generation capacity within the broader context of electricity capacity.,Energy Generation - Renewable,Power Generation,,,
Capacity|Electricity|Nuclear,"Capacity|Electricity|Nuclear represents nuclear within the broader context of capacity > electricity > nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, nuclear",Electricity,0.95,The variable represents nuclear power generation capacity within the broader context of electricity capacity.,Energy Generation - Fossil,Power Generation,,,
Capacity|Electricity|Oil,"Capacity|Electricity|Oil represents oil within the broader context of capacity > electricity > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, oil",Electricity,0.95,The variable represents oil power generation capacity within the broader context of electricity capacity.,Energy Generation - Fossil,Power Generation,,,
Capacity|Electricity|Oil|w/ CCS,"Capacity|Electricity|Oil|w/ CCS represents w/ ccs within the broader context of capacity > electricity > oil > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, electricity, oil, w, w/ ccs",Electricity,0.85,The variable represents oil power generation capacity with CCS technology within the broader context of electricity capacity.,Energy Generation - Fossil,Power Generation,,,
Capacity|Electricity|Oil|w/o CCS,"Capacity|Electricity|Oil|w/o CCS represents w/o ccs within the broader context of capacity > electricity > oil > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, electricity, o, oil, w, w/o ccs",Electricity,0.85,The variable represents oil power generation capacity without CCS technology within the broader context of electricity capacity.,Energy Generation - Fossil,Power Generation,,,
Capacity|Electricity|Solar,"Capacity|Electricity|Solar represents solar within the broader context of capacity > electricity > solar in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, solar",Electricity,0.95,The variable represents solar power generation capacity within the broader context of electricity capacity.,Energy Generation - Renewable,Power Generation,,,
Capacity|Electricity|Solar|PV,"Capacity|Electricity|Solar|PV represents pv within the broader context of capacity > electricity > solar > pv in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, pv, solar",Electricity,0.95,The variable represents PV solar power generation capacity within the broader context of electricity capacity.,Energy Generation - Renewable,Power Generation,,,
Capacity|Electricity|Storage,"Capacity|Electricity|Storage represents storage within the broader context of capacity > electricity > storage in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, storage",Electricity,0.95,The variable represents electricity storage capacity within the broader context of electricity capacity.,Energy Storage,Grid & Storage,,,
Capacity|Electricity|Storage Capacity,"Capacity|Electricity|Storage Capacity represents storage capacity within the broader context of capacity > electricity > storage capacity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, storage, storage capacity",Electricity,0.95,The variable represents electricity storage capacity within the broader context of electricity capacity.,Energy Storage,Grid & Storage,,,
Capacity|Electricity|Wind,"Capacity|Electricity|Wind represents wind within the broader context of capacity > electricity > wind in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, wind",Electricity,0.95,The variable represents wind power generation capacity within the broader context of electricity capacity.,Energy Generation - Renewable,Power Generation,,,
Capacity|Electricity|Wind|Onshore,"Capacity|Electricity|Wind|Onshore represents onshore within the broader context of capacity > electricity > wind > onshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, onshore, wind",Electricity,0.95,The variable represents onshore wind power generation capacity within the broader context of electricity capacity.,Energy Generation - Renewable,Power Generation,,,
Capacity|Liquids|Biomass|w/ CCS,"Capacity|Liquids|Biomass|w/ CCS represents w/ ccs within the broader context of capacity > liquids > biomass > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, liquids, w, w/ ccs",Industry,0.85,The variable represents biomass-based liquid fuel production capacity with CCS technology within the broader context of industry capacity.,Biomass-based Fuels,Chemicals,,,
Capacity|Liquids|Biomass|w/o CCS,"Capacity|Liquids|Biomass|w/o CCS represents w/o ccs within the broader context of capacity > liquids > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, liquids, o, w, w/o ccs",Industry,0.85,The variable represents biomass-based liquid fuel production capacity without CCS technology within the broader context of industry capacity.,Biomass-based Fuels,Chemicals,,,
Capacity|Liquids|Oil,"Capacity|Liquids|Oil represents oil within the broader context of capacity > liquids > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, liquids, oil",Industry,0.95,The variable represents oil refining capacity within the broader context of industry capacity.,Refineries,Chemicals,,,
Capital Cost|Electricity|Biomass|w/o CCS,"Capital Cost|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of capital cost > electricity > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capital, capital cost, ccs, cost, electricity, o, w, w/o ccs",Electricity,0.85,The variable represents biomass power generation capital costs without CCS technology within the broader context of electricity.,Energy Generation - Renewable,Power Generation,,,
Capital Cost|Electricity|Hydro,"Capital Cost|Electricity|Hydro represents hydro within the broader context of capital cost > electricity > hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, electricity, hydro",Electricity,0.95,The variable represents hydro power generation capital costs within the broader context of electricity.,Energy Generation - Renewable,Power Generation,,,
Capital Cost|Electricity|Nuclear,"Capital Cost|Electricity|Nuclear represents nuclear within the broader context of capital cost > electricity > nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, electricity, nuclear",Electricity,0.95,The variable represents nuclear power generation capital costs within the broader context of electricity.,Energy Generation - Fossil,Power Generation,,,
Capital Cost|Electricity|Solar|PV,"Capital Cost|Electricity|Solar|PV represents pv within the broader context of capital cost > electricity > solar > pv in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, electricity, pv, solar",Electricity,0.95,The variable represents PV solar power generation capital costs within the broader context of electricity.,Energy Generation - Renewable,Power Generation,,,
