variable,description
Agricultural Demand,"Agricultural Demand represents agricultural demand within the broader context of agricultural demand in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural demand, agriculture, crop demand, demand, food production"
Agricultural Production,"Agricultural Production represents agricultural production within the broader context of agricultural production in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, food production, production"
Agricultural Production|Energy,"Agricultural Production|Energy represents energy within the broader context of agricultural production → energy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, energy, energy demand, energy sector, energy use, food production, production"
Agricultural Production|Energy|Crops,"Agricultural Production|Energy|Crops represents crops within the broader context of agricultural production → energy → crops in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, crops, energy, energy demand, energy sector, energy use, food production, production"
Agricultural Production|Non-Energy,"Agricultural Production|Non-Energy represents non-energy within the broader context of agricultural production → non-energy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, energy, energy demand, energy sector, energy use, food production, non, non-energy, production"
Agricultural Production|Non-Energy|Crops,"Agricultural Production|Non-Energy|Crops represents crops within the broader context of agricultural production → non-energy → crops in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, crops, energy, energy demand, energy sector, energy use, food production, non, non-energy, production"
Agricultural Production|Non-Energy|Livestock,"Agricultural Production|Non-Energy|Livestock represents livestock within the broader context of agricultural production → non-energy → livestock in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: agricultural, agricultural production, agriculture, crop demand, energy, energy demand, energy sector, energy use, food production, livestock, non, non-energy, production"
Capacity Additions|Electricity|Biomass,"Capacity Additions|Electricity|Biomass represents biomass within the broader context of capacity additions → electricity → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, biomass, capacity, capacity additions, electricity"
Capacity Additions|Electricity|Biomass|w/ CCS,"Capacity Additions|Electricity|Biomass|w/ CCS represents w/ ccs within the broader context of capacity additions → electricity → biomass → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, biomass, capacity, capacity additions, ccs, electricity, w, w/ ccs"
Capacity Additions|Electricity|Biomass|w/o CCS,"Capacity Additions|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of capacity additions → electricity → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, biomass, capacity, capacity additions, ccs, electricity, o, w, w/o ccs"
Capacity Additions|Electricity|Coal,"Capacity Additions|Electricity|Coal represents coal within the broader context of capacity additions → electricity → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, coal, electricity"
Capacity Additions|Electricity|Coal|w/ CCS,"Capacity Additions|Electricity|Coal|w/ CCS represents w/ ccs within the broader context of capacity additions → electricity → coal → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, coal, electricity, w, w/ ccs"
Capacity Additions|Electricity|Coal|w/o CCS,"Capacity Additions|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of capacity additions → electricity → coal → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, coal, electricity, o, w, w/o ccs"
Capacity Additions|Electricity|Gas,"Capacity Additions|Electricity|Gas represents gas within the broader context of capacity additions → electricity → gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, gas"
Capacity Additions|Electricity|Gas|w/ CCS,"Capacity Additions|Electricity|Gas|w/ CCS represents w/ ccs within the broader context of capacity additions → electricity → gas → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, electricity, gas, w, w/ ccs"
Capacity Additions|Electricity|Gas|w/o CCS,"Capacity Additions|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of capacity additions → electricity → gas → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, electricity, gas, o, w, w/o ccs"
Capacity Additions|Electricity|Hydro,"Capacity Additions|Electricity|Hydro represents hydro within the broader context of capacity additions → electricity → hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, hydro"
Capacity Additions|Electricity|Nuclear,"Capacity Additions|Electricity|Nuclear represents nuclear within the broader context of capacity additions → electricity → nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, nuclear"
Capacity Additions|Electricity|Oil,"Capacity Additions|Electricity|Oil represents oil within the broader context of capacity additions → electricity → oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, oil"
Capacity Additions|Electricity|Oil|w/ CCS,"Capacity Additions|Electricity|Oil|w/ CCS represents w/ ccs within the broader context of capacity additions → electricity → oil → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, electricity, oil, w, w/ ccs"
Capacity Additions|Electricity|Oil|w/o CCS,"Capacity Additions|Electricity|Oil|w/o CCS represents w/o ccs within the broader context of capacity additions → electricity → oil → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, ccs, electricity, o, oil, w, w/o ccs"
Capacity Additions|Electricity|Solar,"Capacity Additions|Electricity|Solar represents solar within the broader context of capacity additions → electricity → solar in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, solar"
Capacity Additions|Electricity|Solar|PV,"Capacity Additions|Electricity|Solar|PV represents pv within the broader context of capacity additions → electricity → solar → pv in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, pv, solar"
Capacity Additions|Electricity|Wind,"Capacity Additions|Electricity|Wind represents wind within the broader context of capacity additions → electricity → wind in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, wind"
Capacity Additions|Electricity|Wind|Onshore,"Capacity Additions|Electricity|Wind|Onshore represents onshore within the broader context of capacity additions → electricity → wind → onshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: additions, capacity, capacity additions, electricity, onshore, wind"
Capacity|Electricity,"Capacity|Electricity represents electricity within the broader context of capacity → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity"
Capacity|Electricity|Biomass,"Capacity|Electricity|Biomass represents biomass within the broader context of capacity → electricity → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, electricity"
Capacity|Electricity|Biomass|w/ CCS,"Capacity|Electricity|Biomass|w/ CCS represents w/ ccs within the broader context of capacity → electricity → biomass → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, electricity, w, w/ ccs"
Capacity|Electricity|Biomass|w/o CCS,"Capacity|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of capacity → electricity → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, electricity, o, w, w/o ccs"
Capacity|Electricity|Coal,"Capacity|Electricity|Coal represents coal within the broader context of capacity → electricity → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, coal, electricity"
Capacity|Electricity|Coal|w/ CCS,"Capacity|Electricity|Coal|w/ CCS represents w/ ccs within the broader context of capacity → electricity → coal → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, coal, electricity, w, w/ ccs"
Capacity|Electricity|Coal|w/o CCS,"Capacity|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of capacity → electricity → coal → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, coal, electricity, o, w, w/o ccs"
Capacity|Electricity|Gas,"Capacity|Electricity|Gas represents gas within the broader context of capacity → electricity → gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, gas"
Capacity|Electricity|Gas|w/ CCS,"Capacity|Electricity|Gas|w/ CCS represents w/ ccs within the broader context of capacity → electricity → gas → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, electricity, gas, w, w/ ccs"
Capacity|Electricity|Gas|w/o CCS,"Capacity|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of capacity → electricity → gas → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, electricity, gas, o, w, w/o ccs"
Capacity|Electricity|Hydro,"Capacity|Electricity|Hydro represents hydro within the broader context of capacity → electricity → hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, hydro"
Capacity|Electricity|Nuclear,"Capacity|Electricity|Nuclear represents nuclear within the broader context of capacity → electricity → nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, nuclear"
Capacity|Electricity|Oil,"Capacity|Electricity|Oil represents oil within the broader context of capacity → electricity → oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, oil"
Capacity|Electricity|Oil|w/ CCS,"Capacity|Electricity|Oil|w/ CCS represents w/ ccs within the broader context of capacity → electricity → oil → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, electricity, oil, w, w/ ccs"
Capacity|Electricity|Oil|w/o CCS,"Capacity|Electricity|Oil|w/o CCS represents w/o ccs within the broader context of capacity → electricity → oil → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, electricity, o, oil, w, w/o ccs"
Capacity|Electricity|Solar,"Capacity|Electricity|Solar represents solar within the broader context of capacity → electricity → solar in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, solar"
Capacity|Electricity|Solar|PV,"Capacity|Electricity|Solar|PV represents pv within the broader context of capacity → electricity → solar → pv in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, pv, solar"
Capacity|Electricity|Storage,"Capacity|Electricity|Storage represents storage within the broader context of capacity → electricity → storage in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, storage"
Capacity|Electricity|Storage Capacity,"Capacity|Electricity|Storage Capacity represents storage capacity within the broader context of capacity → electricity → storage capacity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, storage, storage capacity"
Capacity|Electricity|Wind,"Capacity|Electricity|Wind represents wind within the broader context of capacity → electricity → wind in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, wind"
Capacity|Electricity|Wind|Onshore,"Capacity|Electricity|Wind|Onshore represents onshore within the broader context of capacity → electricity → wind → onshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, electricity, onshore, wind"
Capacity|Liquids|Biomass|w/ CCS,"Capacity|Liquids|Biomass|w/ CCS represents w/ ccs within the broader context of capacity → liquids → biomass → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, liquids, w, w/ ccs"
Capacity|Liquids|Biomass|w/o CCS,"Capacity|Liquids|Biomass|w/o CCS represents w/o ccs within the broader context of capacity → liquids → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, liquids, o, w, w/o ccs"
Capacity|Liquids|Oil,"Capacity|Liquids|Oil represents oil within the broader context of capacity → liquids → oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, liquids, oil"
Capital Cost|Electricity|Biomass|w/o CCS,"Capital Cost|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of capital cost → electricity → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capital, capital cost, ccs, cost, electricity, o, w, w/o ccs"
Capital Cost|Electricity|Hydro,"Capital Cost|Electricity|Hydro represents hydro within the broader context of capital cost → electricity → hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, electricity, hydro"
Capital Cost|Electricity|Nuclear,"Capital Cost|Electricity|Nuclear represents nuclear within the broader context of capital cost → electricity → nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, electricity, nuclear"
Capital Cost|Electricity|Solar|PV,"Capital Cost|Electricity|Solar|PV represents pv within the broader context of capital cost → electricity → solar → pv in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, electricity, pv, solar"
Capital Cost|Electricity|Wind|Onshore,"Capital Cost|Electricity|Wind|Onshore represents onshore within the broader context of capital cost → electricity → wind → onshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, electricity, onshore, wind"
Capital Cost|Liquids|Biomass|w/o CCS,"Capital Cost|Liquids|Biomass|w/o CCS represents w/o ccs within the broader context of capital cost → liquids → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capital, capital cost, ccs, cost, liquids, o, w, w/o ccs"
Capital Cost|Liquids|Oil,"Capital Cost|Liquids|Oil represents oil within the broader context of capital cost → liquids → oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital cost, cost, liquids, oil"
Capital Stock,"Capital Stock represents capital stock within the broader context of capital stock in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capital, capital stock, stock"
Carbon Sequestration|CCS,"Carbon Sequestration|CCS represents ccs within the broader context of carbon sequestration → ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, sequestration"
Carbon Sequestration|CCS|Biomass,"Carbon Sequestration|CCS|Biomass represents biomass within the broader context of carbon sequestration → ccs → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, sequestration"
Carbon Sequestration|CCS|Biomass|Energy|Supply,"Carbon Sequestration|CCS|Biomass|Energy|Supply represents supply within the broader context of carbon sequestration → ccs → biomass → energy → supply in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, sequestration, supply"
Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity,"Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity represents electricity within the broader context of carbon sequestration → ccs → biomass → energy → supply → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, electricity, energy, energy demand, energy sector, energy use, sequestration, supply"
Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,"Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids represents liquids within the broader context of carbon sequestration → ccs → biomass → energy → supply → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, liquids, sequestration, supply"
Carbon Sequestration|CCS|Fossil,"Carbon Sequestration|CCS|Fossil represents fossil within the broader context of carbon sequestration → ccs → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, fossil, sequestration"
Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,"Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry represents industry within the broader context of carbon sequestration → ccs → fossil → energy → demand → industry in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, demand, energy, energy demand, energy sector, energy use, fossil, industry, sequestration"
Carbon Sequestration|CCS|Fossil|Energy|Supply,"Carbon Sequestration|CCS|Fossil|Energy|Supply represents supply within the broader context of carbon sequestration → ccs → fossil → energy → supply in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, fossil, sequestration, supply"
Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,"Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity represents electricity within the broader context of carbon sequestration → ccs → fossil → energy → supply → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, electricity, energy, energy demand, energy sector, energy use, fossil, sequestration, supply"
Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids,"Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids represents liquids within the broader context of carbon sequestration → ccs → fossil → energy → supply → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, energy, energy demand, energy sector, energy use, fossil, liquids, sequestration, supply"
Carbon Sequestration|CCS|Industrial Processes,"Carbon Sequestration|CCS|Industrial Processes represents industrial processes within the broader context of carbon sequestration → ccs → industrial processes in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon, carbon sequestration, ccs, industrial, industrial processes, processes, sequestration"
Carbon Sequestration|Land Use|Afforestation,"Carbon Sequestration|Land Use|Afforestation represents afforestation within the broader context of carbon sequestration → land use → afforestation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: afforestation, carbon, carbon sequestration, land, land use, sequestration, use"
Consumption,"Consumption represents consumption within the broader context of consumption in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: consumption"
Cumulative Capacity|Electricity|Biomass|w/ CCS,"Cumulative Capacity|Electricity|Biomass|w/ CCS represents w/ ccs within the broader context of cumulative capacity → electricity → biomass → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, cumulative, cumulative capacity, electricity, w, w/ ccs"
Cumulative Capacity|Electricity|Biomass|w/o CCS,"Cumulative Capacity|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of cumulative capacity → electricity → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, capacity, ccs, cumulative, cumulative capacity, electricity, o, w, w/o ccs"
Cumulative Capacity|Electricity|Coal|w/ CCS,"Cumulative Capacity|Electricity|Coal|w/ CCS represents w/ ccs within the broader context of cumulative capacity → electricity → coal → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, coal, cumulative, cumulative capacity, electricity, w, w/ ccs"
Cumulative Capacity|Electricity|Coal|w/o CCS,"Cumulative Capacity|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of cumulative capacity → electricity → coal → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, coal, cumulative, cumulative capacity, electricity, o, w, w/o ccs"
Cumulative Capacity|Electricity|Gas|w/ CCS,"Cumulative Capacity|Electricity|Gas|w/ CCS represents w/ ccs within the broader context of cumulative capacity → electricity → gas → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, cumulative, cumulative capacity, electricity, gas, w, w/ ccs"
Cumulative Capacity|Electricity|Gas|w/o CCS,"Cumulative Capacity|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of cumulative capacity → electricity → gas → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, ccs, cumulative, cumulative capacity, electricity, gas, o, w, w/o ccs"
Cumulative Capacity|Electricity|Hydro,"Cumulative Capacity|Electricity|Hydro represents hydro within the broader context of cumulative capacity → electricity → hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: capacity, cumulative, cumulative capacity, electricity, hydro"
